Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.6,0,16.56,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Light on the digestive system; suitable for those recovering from illness.
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,0,15.56,Ideal when combined with seasonal vegetables for a wholesome meal. | Include in evening meals for light yet satisfying nourishment.
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,0.15,3.02,5.45,25.04,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,13.38,21.45,A great option during festive occasions — just keep portions in check. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,0.15,32.03,Can be eaten generously without fear of calorie overload; great as a snack. | A smart low-calorie option — ideal for weight management plans.
Besan gatte curry,189.38,16.26,7.75,10.72,4.5,3.25,2.8,151.08,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A good addition for elderly individuals to maintain healthy bone density."
Dry masala chops,135.07,3.3,9.08,9.54,2.27,0.86,2.24,112.25,A good addition for elderly individuals to maintain healthy bone density. | Ideal when combined with seasonal vegetables for a wholesome meal.
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,3.9,79.07,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,14.97,14.51,Fresh preparation retains the most nutrients; avoid overcooking. | Balance with lighter meals throughout the day to manage daily calorie intake.
Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,24.77,23.84,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,1.21,98.67,Consume in moderate portions and savour mindfully for maximum enjoyment. | Add a side of leafy greens to boost micronutrient absorption.
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.4,1.88,0,117.44,Excellent for bone and dental health — especially beneficial for growing children. | A great option during festive occasions — just keep portions in check.
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.75,0.6,44.04,12.91,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.1,0.86,23.51,13.89,"Include in your weekly rotation to diversify your nutritional intake. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,4.66,2.57,3.32,89.7,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,0,21.42,Include in evening meals for light yet satisfying nourishment. | Ideal when combined with seasonal vegetables for a wholesome meal.
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,0,20.32,"Works well as a side dish or main course depending on your daily energy needs. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Vegetable yakhni,406.06,1.94,1.18,43.8,1.44,0.61,1.92,43.67,Works well as a side dish or main course depending on your daily energy needs. | Rich in fats — consume mindfully and balance with active movement during the day.
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1,2.27,2.89,49.75,Combining with a protein source makes this a more complete and satisfying meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,1.03,47.09,Consume in moderate portions and savour mindfully for maximum enjoyment. | Fresh preparation retains the most nutrients; avoid overcooking.
Roast chicken,199.9,0.1,20.49,13.06,0.05,0.03,69.66,13.61,Combining with a protein source makes this a more complete and satisfying meal. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Shahi chicken masala,163.7,4.07,9.82,12.02,2.86,0.96,24.78,82.68,Combining with a protein source makes this a more complete and satisfying meal. | Add a side of leafy greens to boost micronutrient absorption.
Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,27.94,21.24,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A great option during festive occasions — just keep portions in check."
Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,39.28,50.37,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,27.85,73.36,Include in your weekly rotation to diversify your nutritional intake. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Ginger chicken,129.17,5.6,8.24,8.24,1.95,1.21,19.24,18.41,Include in your weekly rotation to diversify your nutritional intake. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,32.47,21.98,Ideal when combined with seasonal vegetables for a wholesome meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,23.66,68.66,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,13.92,44.44,Fresh preparation retains the most nutrients; avoid overcooking. | A great option during festive occasions — just keep portions in check.
Fish finger,542.9,4.47,5.66,55.82,0.17,0.34,30,11.38,Combining with a protein source makes this a more complete and satisfying meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,17.13,21.94,A smart low-calorie option — ideal for weight management plans. | Ideal when combined with seasonal vegetables for a wholesome meal.
Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,2.03,1.56,37.12,37.25,Works well as a side dish or main course depending on your daily energy needs. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,36.95,18.8,Pair with a glass of water or herbal tea for optimal digestive comfort. | Combining with a protein source makes this a more complete and satisfying meal.
Fish pie,120.9,7.74,9.25,5.77,1.13,0.76,23.97,36.15,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Crispy baked fish,138.4,9.59,10.95,6.41,1.53,1.21,28.89,60.04,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in your weekly rotation to diversify your nutritional intake.
Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,84.69,63.87,Ideal when combined with seasonal vegetables for a wholesome meal. | Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health.
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,0,23.74,Combining with a protein source makes this a more complete and satisfying meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,120.74,41.59,Fresh preparation retains the most nutrients; avoid overcooking. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,0,19.63,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Ideal when combined with seasonal vegetables for a wholesome meal."
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,1.45,36.36,"A smart low-calorie option — ideal for weight management plans. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,2.6,7.77,Combining with a protein source makes this a more complete and satisfying meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,3.54,8.35,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,3.54,11.36,Include in your weekly rotation to diversify your nutritional intake. | Works well as a side dish or main course depending on your daily energy needs.
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,0,43.67,Fresh preparation retains the most nutrients; avoid overcooking. | A great option during festive occasions — just keep portions in check.
Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,0,131.88,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Excellent for bone and dental health — especially beneficial for growing children.
Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,0,165.84,Combining with a protein source makes this a more complete and satisfying meal. | Excellent choice for those managing cholesterol or blood sugar levels.
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,32.9,31.54,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Works well as a side dish or main course depending on your daily energy needs."
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,18.79,29.82,Combining with a protein source makes this a more complete and satisfying meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,0,22.77,Pair with a glass of water or herbal tea for optimal digestive comfort. | Fresh preparation retains the most nutrients; avoid overcooking.
Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,0,32.08,Moderate fat content — suitable for active individuals with higher energy demands. | Works well as a side dish or main course depending on your daily energy needs.
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,0,19.63,Consume in moderate portions and savour mindfully for maximum enjoyment. | Excellent choice for those managing cholesterol or blood sugar levels.
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,0,67.88,"Combining with a protein source makes this a more complete and satisfying meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,0,27.61,Fresh preparation retains the most nutrients; avoid overcooking. | Combining with a protein source makes this a more complete and satisfying meal.
Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,0,44.2,Fresh preparation retains the most nutrients; avoid overcooking. | Excellent choice for those managing cholesterol or blood sugar levels.
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,0,17.25,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Works well as a side dish or main course depending on your daily energy needs."
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,0,12.79,Include in your weekly rotation to diversify your nutritional intake. | Moderate fat content — suitable for active individuals with higher energy demands.
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,0,8.11,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,0,21.05,A smart low-calorie option — ideal for weight management plans. | Include in your weekly rotation to diversify your nutritional intake.
Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,0,27.11,Fresh preparation retains the most nutrients; avoid overcooking. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,0,13.3,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,0,26.99,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Works well as a side dish or main course depending on your daily energy needs.
Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,0,26.4,Combining with a protein source makes this a more complete and satisfying meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,51.1,100.19,Include in your weekly rotation to diversify your nutritional intake. | A great option during festive occasions — just keep portions in check.
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,45.61,71.83,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | A smart low-calorie option — ideal for weight management plans.
Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,85.15,18.1,Fresh preparation retains the most nutrients; avoid overcooking. | Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health.
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,5.51,10.38,Light on the digestive system; suitable for those recovering from illness. | Works well as a side dish or main course depending on your daily energy needs.
Stuffed baked potatoes ,100.2,11.03,3.82,4.39,0.4,1.31,72.99,25.72,Consume in moderate portions and savour mindfully for maximum enjoyment. | Ideal when combined with seasonal vegetables for a wholesome meal.
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,26.5,55.25,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,15.71,11.43,Pair with a glass of water or herbal tea for optimal digestive comfort. | Combining with a protein source makes this a more complete and satisfying meal.
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,7.15,65.49,Fresh preparation retains the most nutrients; avoid overcooking. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,13.55,84.97,Ideal when combined with seasonal vegetables for a wholesome meal. | A good addition for elderly individuals to maintain healthy bone density.
Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,22.15,119.69,Excellent for bone and dental health — especially beneficial for growing children. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,18.88,99.48,A good addition for elderly individuals to maintain healthy bone density. | Ideal when combined with seasonal vegetables for a wholesome meal.
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,114.71,133.69,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,82.25,18.13,Include in your weekly rotation to diversify your nutritional intake. | Those with cardiovascular conditions should limit intake to once or twice a week.
Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,47.29,23.25,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,0,33.71,Ideal when combined with seasonal vegetables for a wholesome meal. | Works well as a side dish or main course depending on your daily energy needs.
Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,8.17,45.65,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,2.87,68.49,Light on the digestive system; suitable for those recovering from illness. | Include in evening meals for light yet satisfying nourishment.
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,20.73,17.54,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,0,37.14,Consume in moderate portions and savour mindfully for maximum enjoyment. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,0,44.28,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Include in your weekly rotation to diversify your nutritional intake.
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,26.33,28.61,A great option during festive occasions — just keep portions in check. | Pair with a glass of water or herbal tea for optimal digestive comfort.
French dressing,733.77,3.68,0.32,79.65,3.01,0.22,0,6.98,Pair with a glass of water or herbal tea for optimal digestive comfort. | Combining with a protein source makes this a more complete and satisfying meal.
Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,0,75.54,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Moderate fat content — suitable for active individuals with higher energy demands.
Curd dressing ,78.8,8.03,5.59,2.9,7.57,0.22,10.52,194.59,"Works well as a side dish or main course depending on your daily energy needs. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,6.98,146.72,A smart low-calorie option — ideal for weight management plans. | Works well as a side dish or main course depending on your daily energy needs.
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,6.47,130.11,Pair with a glass of water or herbal tea for optimal digestive comfort. | A good addition for elderly individuals to maintain healthy bone density.
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,8.26,191.01,Add a side of leafy greens to boost micronutrient absorption. | Include in your weekly rotation to diversify your nutritional intake.
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,5.41,142.96,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,5.41,206.31,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,8.12,1.39,6.93,134.53,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,10.11,1,6.93,133.23,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,7.87,0.89,6.93,136.06,Fresh preparation retains the most nutrients; avoid overcooking. | Excellent for bone and dental health — especially beneficial for growing children.
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3,6.93,136.93,Light on the digestive system; suitable for those recovering from illness. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,8.51,0.71,6.93,134.52,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10,2.7,3.86,9.63,0.55,0,94.18,A great option during festive occasions — just keep portions in check. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,10.12,0.63,0,95.61,A smart low-calorie option — ideal for weight management plans. | Works well as a side dish or main course depending on your daily energy needs.
Apple kheer (Seb ki kheer),81.3,11.34,2.14,3.18,10.71,0.51,0,75.67,"Include in your weekly rotation to diversify your nutritional intake. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Caramel custard (baked),122.7,14.95,5.11,5.01,14.92,0,81.15,90.59,A good addition for elderly individuals to maintain healthy bone density. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Vanilla ice cream without egg,228.67,14.21,2.69,18.15,13.45,0,41.7,81.27,Fresh preparation retains the most nutrients; avoid overcooking. | A great option during festive occasions — just keep portions in check.
Vanilla ice cream with egg,214.85,11.71,4.16,17.02,11.69,0,86.75,77.42,A good addition for elderly individuals to maintain healthy bone density. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Strawberry ice cream,215.61,12.26,4.15,16.96,11.6,0,86.39,77.08,Works well as a side dish or main course depending on your daily energy needs. | Include in your weekly rotation to diversify your nutritional intake.
Chocochip ice cream,241.45,16.75,4.23,17.93,16.08,0,79.34,73.22,A great option during festive occasions — just keep portions in check. | Moderate fat content — suitable for active individuals with higher energy demands.
Choconut ice cream,273.96,23.13,5.04,18.49,21.02,0.51,65.65,67.38,Pair with a glass of water or herbal tea for optimal digestive comfort. | Ideal when combined with seasonal vegetables for a wholesome meal.
Pear chocholate sunday,183.49,15.02,2.08,13.11,14.41,0.07,29.11,56.67,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Chocolate sauce,263.2,43.21,1.91,10.39,42.06,0,21.3,18.8,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Limit frequency for those managing diabetes or insulin sensitivity.
Coffee ice cream,150.62,14.09,3.15,9.43,13.35,0,22.23,95.72,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Coffee pear alaska,203.99,19.36,2.88,13.22,16.88,0.15,28.43,60.61,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Fresh preparation retains the most nutrients; avoid overcooking.
Crunchy butterscotch,277.32,19.92,3.11,20.99,17.73,0.47,46.39,72.26,Limit frequency for those managing diabetes or insulin sensitivity. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Peach melba ice cream,200.85,16.31,2.06,14.51,13.35,0.06,33.23,60.55,Fresh preparation retains the most nutrients; avoid overcooking. | Combining with a protein source makes this a more complete and satisfying meal.
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,14.19,0.26,26.15,56.34,Limit frequency for those managing diabetes or insulin sensitivity. | Include in your weekly rotation to diversify your nutritional intake.
Grape and orange whip,57.39,6.72,1.41,2.62,5.66,0.97,6.51,17.4,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Honey banana cream,125.49,13.64,2.78,6.68,10.51,0.7,14.27,43.52,Limit frequency for those managing diabetes or insulin sensitivity. | A great option during festive occasions — just keep portions in check.
Raspberry bavarian cream,150.1,17.82,3.34,7.88,15.3,2.19,19.94,26.4,Include in your weekly rotation to diversify your nutritional intake. | A great option during festive occasions — just keep portions in check.
Fruit delight,107.09,9.11,2.09,7.09,9.03,0.09,12.28,71.69,"Pair with a glass of water or herbal tea for optimal digestive comfort. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Creamy chocolate mousse,230.52,9.53,6.85,18.16,8.99,0,129.13,45.25,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in your weekly rotation to diversify your nutritional intake.
Cold lemon souffle,169.87,15.62,5.89,9.78,13.88,0,98.14,55.03,A great option during festive occasions — just keep portions in check. | Ideal when combined with seasonal vegetables for a wholesome meal.
Cold orange souffle,173.19,16.27,5.94,9.82,14.42,0.11,98.65,55.45,"Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cold pineapple souffle,181.22,16.85,6.23,10.39,14.99,0,104.39,57.13,Those with cardiovascular conditions should limit intake to once or twice a week. | A great option during festive occasions — just keep portions in check.
Cold vanilla souffle,179.54,16.29,6.22,10.32,14.49,0,100.85,62.47,"Ideal when combined with seasonal vegetables for a wholesome meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Cold chocolate souffle,187.53,17.22,6.37,10.86,15.31,0,98.07,62.91,Combining with a protein source makes this a more complete and satisfying meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Stewed fruit (with pear),74.32,18.22,0.25,0.32,17.67,2.84,0,5.94,"Limit frequency for those managing diabetes or insulin sensitivity. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Apricot fool,240.79,33.64,1.54,11.35,21.29,1,27.58,26.37,Combining with a protein source makes this a more complete and satisfying meal. | Ideal when combined with seasonal vegetables for a wholesome meal.
Pavlova,200.6,21.84,1.84,12.29,20.37,0.06,31.94,23,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Apple crumb pudding,220.85,35.17,1.54,8.87,27.69,1.33,21.68,38.49,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,19.72,0.29,78.72,67.76,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Hot lemon souffle,155.25,16.31,5.29,7.93,12.07,0.14,116.79,48.77,Those with cardiovascular conditions should limit intake to once or twice a week. | Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health.
Gulab jamun with milk powder,471.15,28.24,0.85,40.15,27.04,0.05,1.25,26.13,Opt for smaller servings and pair with salads or raw vegetables for balance. | Ideal when combined with seasonal vegetables for a wholesome meal.
Chum chum,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Consume sparingly; high sugar content may spike blood glucose levels.
Dil bahar,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,Works well as a side dish or main course depending on your daily energy needs. | A good addition for elderly individuals to maintain healthy bone density.
Rasbhari,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,Include in your weekly rotation to diversify your nutritional intake. | Combining with a protein source makes this a more complete and satisfying meal.
Rajbogh,133.7,28.16,1.71,2.28,27.66,0.11,0.1,63.23,Limit frequency for those managing diabetes or insulin sensitivity. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Rasgulla,118.64,25.79,1.38,1.75,25.4,0.01,0.09,57.09,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load."
Rasmalai,135.55,29.17,1.61,2.11,28.71,0.07,0.09,62.31,Include in your weekly rotation to diversify your nutritional intake. | Ideal when combined with seasonal vegetables for a wholesome meal.
Khoa coconut burfi,411.45,36.55,9.98,26.01,35.6,4.07,0,309.84,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Combining with a protein source makes this a more complete and satisfying meal.
Danedar burfi,102.68,12.33,3.24,4.72,11.98,0.09,0,107.53,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Semolina burfi (Suji/Rava burfi),348.67,47.1,3.47,16.86,28.67,2.8,39.41,14.86,Consume sparingly; high sugar content may spike blood glucose levels. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,16.11,4.29,5.11,21.76,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A great option during festive occasions — just keep portions in check."
Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,0,358.61,Best consumed post-workout to aid in muscle recovery and repair. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Wheat and gram flour ladoo (Atta besan ladoo),501.7,50.5,9.38,29.86,18.46,6.01,60.99,35.27,Ideal when combined with seasonal vegetables for a wholesome meal. | Limit frequency for those managing diabetes or insulin sensitivity.
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,19.79,4.27,58.8,18.04,Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.5,4.66,36.48,5.54,0,150.73,A great option during festive occasions — just keep portions in check. | Consume with plenty of water to support smooth digestion.
Murmura chikki,253.82,59.59,2.12,0.32,48.27,0.37,0,63.3,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.58,1.44,0,11.06,Fresh preparation retains the most nutrients; avoid overcooking. | Balance with lighter meals throughout the day to manage daily calorie intake.
